_ID_;_NAME_;_MODEL_
1501;"Clevan  CPB-10  Бас гитара";" G00055"
1502;"Brahner PB-100 Бас гитара";" G00050"
1503;"Clevan  CB-10 Бас гитара";" G00051"
1504;"Clevan  CB-40 Бас гитара";" G00052"
1505;"Clevan  CBB - 10 Бас гитара";" G00054"
1506;"Clevan  CTB-10 Бас гитара";" G00056"
1507;"Clevan  CB-52 Бас гитара";" G00053"
1508;"Scorpion PB-1/BK Бас гитара Precision Bass";" G00058"
1509;"Zander TB - 450R Бас гитара";" G00059"
1510;"Clevan  CTB-42Q  Бас гитара";" G00057"
1511;"М.Fernandez MF-23 Гитара классическая";" G00079"
1512;"Cuenca модель 20 Гитара классическая 4/4";" G00065"
1514;"Cuenca модель 30F Гитара классическая Flamenco";" G00076"
1515;"Cuenca модель R-10 REQUINTO Гитара классическая 1/2";" G00075"
1516;"Cuenca модель 10 Senorita Гитара классическая";" G00063"
1517;"Cuenca модель 10 Гитара классическая 4/4";" G00062"
1518;"Cuenca модель 30 Гитара классическая";" G00066"
1519;"Cuenca модель 45 Гитара классическая";" G00069"
1520;"Cuenca модель 60R Гитара классическая";" G00072"
1521;"Cuenca модель 40R Гитара классическая";" G00067"
1522;"Cuenc модель 50R Гитара классическая";" G00070"
1523;"Iberica 1SM Гитара классическая";" G00078"
1524;"Cuenca модель 30CW E1 Гитара классическая";" G00068"
1525;"M.Rodriguez Caballero C-8  Гитара классическая";" G00091"
1526;"Iberica 1S Гитара классическая";" G00077"
1527;"Cuenca модель 50R CW E2 Гитара классическая";" G00071"
1528;"M.Rodriguez Caballero C-11 Гитара классическая";" G00096"
1529;"M.Rodriguez Caballero C-10 Гитара классическая";" G00095"
1530;"М.Fernandez MF-39M Гитара классическая";" G00093"
1531;"М.Fernandez 502 SP Гитара классическая 1/4";" G00089"
1532;"М.Fernandez MF-3901 ST Гитара классическая";" G00094"
1533;"М.Fernandez MF-19G Гитара классическая";" G00088"
1534;"М.Fernandez MF-41/BK Гитара классическая";" G00084"
1535;"М.Fernandez MF-52 SP Гитара классическая";" G00086"
1536;"М.Fernandez MF-41/WH Гитара классическая";" G00083"
1537;"М.Fernandez MF-53M SP/EQ Гитара классическая";" G00085"
1538;"М.Fernandez 502 SP Гитара классическая 4/4";" G00082"
1539;"М.Fernandez MF-28 Гитара классическая 4/4";" G00080"
1541;"Alchemy ARWBL6 6"" Bell";" D00011"
1542;"Alchemy ABL10 10"" Professional Bell";" D00010"
1543;"Alchemy ARWBL8 8"" Bell";" D00012"
1544;"ALCHEMY ARWSBL10 Sizzle Bell 9""";" D00014"
1545;"ISTANBUL AGOP  Agop Crash 18""";" D00044"
1546;"Alchemy AMCH8 8"" Mini China";" D00026"
1547;"ALCHEMY ARWSBL10 Sizzle Bell 10""";" D00013"
1548;"Alchemy AMCH10 10"" Mini China";" D00024"
1549;"Istanbul Agop TBL6 6"" Turk Bell";" D00015"
1550;"Istanbul Agop TBL6 8"" Turk Bell";" D00016"
1551;"ALCHEMY AIONC16 Тарелка ION CRASH 16""";" D00022"
1552;"Alchemy AMCH12 12"" Mini China";" D00025"
1567;"Yamaha YX30G Ксилофон";" D00046"
1568;"Alchemy ACH14 14"" China";" D00017"
1569;"Sabian 21616XB 16"" Chinese";" D00069"
1570;"Alchemy ARWCH16 Raw China";" D00027"
1571;"Istanbul Agop THIT8 Traditional Trash Hit 8""";" D00039"
1572;"Istanbul Agop MCH8 Traditional Mini China 8""";" D00032"
1573;"Alchemy ACH16 16"" China";" D00018"
1574;"Alchemy ACH20 20"" China";" D00021"
1575;"Alchemy ACH18 18"" China";" D00019"
1576;"Alchemy ARWCH18 Raw China";" D00028"
1577;"Istanbul Agop THIT10 Traditional Trash Hit 10""";" D00035"
1578;"Sabian 21816B 18"" Chinese";" D00054"
1579;"ISTANBUL AGOP XIONC16 Тарелка XIST ION CRASH 16""";" D00042"
1580;"Sabian 21816X 18"" Chinese";" D00057"
1581;"ISTANBUL AGOP XIONC18 Тарелка XIST ION CRASH 18""";" D00043"
1582;"ALCHEMY AIONC18  ION CRASH 18""";" D00023"
1583;"Sabian 21406XB 14"" Studio Crash";" D00065"
1584;"Sabian 21885XB 18"" X-Plosion Fast Crash";" D00073"
1585;"Sabian 21406B 14"" Thin Crash";" D00050"
1586;"Sabian 21685XB 16"" X-Plosion Fast Crash";" D00070"
1587;"Sabian 21608X 16"" Stage Crash";" D00068"
1588;"Sabian 21606XB 16"" Studio Crash";" D00067"
1589;"Sabian 21607B 16"" Medium-Thin Crash";" D00051"
1590;"Sabian 21607 16"" Medium - Thin Crash";" D00051"
1591;"Sabian 22012  20"" Medium Ride.";" D00056"
1592;"Sabian 21606X 16"" Studio Crash";" D00066"
1593;"Sabian 21687XB 16"" X-Plosion Crash";" D00071"
1594;"Sabian 21608XB 16"" Stage Crash";" D00068"
1595;"Sabian 21808XB 18"" Stage Crash";" D00072"
1596;"Sabian 20805XB 8"" Splash";" D00059"
1597;"Sabian 21807 18"" Medium-Thin Crash";" D00052"
1598;"Sabian 21005X 10"" Splash";" D00060"
1599;"Sabian 21187XB 11"" X-Plosion Splash";" D00062"
1600;"Sabian 21005 Splash 10""";" D00047"
1601;"Sabian 21005B Splash 10""";" D00048"
1602;"Sabian 21005XB 10"" Splash";" D00061"
1603;"ISTANBUL AGOP IMSXS Комплект тарелок MSX 14, 16, 20";" D00002"
1604;"ISTANBUL AGOP IXS3 Комплект тарелок XIST 14-16-20";" D00007"
1605;"ISTANBUL AGOP IXBS3 Комплект тарелок XIST BRILLIANT 14-16-20";" D00005"
1606;"ISTANBUL AGOP IXS4 Комплект тарелок XIST 14-16-18-20";" D00008"
1607;"ISTANBUL AGOP IXBS4 Набор тарелок XIST BRILLIANT 14-16-18-20";" D00006"
1608;"ISTANBUL AGOP IAPXS Комплект тарелок ALCHEMY POWER-X";" D00001"
1609;"ISTANBUL AGOP ITRS Комплект тарелок TRADITIONAL 14-16-20";" D00004"
1610;"ISTANBUL AGOP ISS Набор тарелок CUSTOM SULTAN 14-16-20";" D00003"
1611;"Sabian 25005XXP Promotional Set Набор тарелок";" D00059"
1612;"Sabian 25005X Performance Set Набор тарелок серии AAX";" D00058"
1613;"ISTANBUL AGOP Парные маршевые тарелки MARСHING 14""";" D00045"
1614;"Sabian 21402XLB 14""  X-Celerator Hats";" D00064"
1615;"Sabian 21402XB 14""  Stage Hats";" D00063"
1616;"ISTANBUL AGOP MB16 Парные тарелки серии Marching";" D00009"
1617;"Sabian 21402 14"" Medium hats";" D00049"
1618;"Dunlop НЕ70 Смазка для пробки и соединительных частей духовых инструментов";1684
1619;"Dunlop НЕ825 Двухсторонний ершик для чистки механики деревянных инструментов";1692
1620;"Dunlop НЕ84 Ершик для чистки мундштуков медных духовых инструментов";1694
1621;"La Tromba 760320 Cork grease Смазка для пробки деревянных духовых инструментов";354
1622;"Rico RCRKGR12 Смазка для пробки деревянных духовых инструментов";1484
1623;"Dunlop НЕ83 Ершик для чистки помпового механизма";1693
1624;"SELMER 2929 Смазка для пробки деревянных духовых инструментов";193
1634;"Paxman Linkage Oil LO-10 смазка для соединений роторного механизма медных духовых инструментов";338
1653;"Paxman VALVE CORD 2M Жилки (плетеные) для роторных механизмов валторн";370
1666;"Paxman Bearing Oil Масло для подвижных частей роторного механизма";337
1667;"MFP-01 Polishing cloth Paxman ткань для полировки инструмента";367
1670;"Reka 760675 Масло для вентильных (роторных) механизмов медных духовых инструментов";1491
1671;"Paxman Rotor oil масло для роторов";339
1672;"PULL-THROUGH PT-01 Paxman протяжной ершик для чистки внутренней поверхности валторны";340
1673;"Conn-Selmer 551 Кожаная накладка для защиты валторны, натуральная кожа";1482
1674;"Визуалайзер  BRAHNER для валторны";157
1676;"GA-PAX-PC Polishing cloth Paxman ткань для полировки инструмента";366
1677;"Conn-Selmer 552 Кожаная накладка для защиты валторны";668
1678;"Alexander 503M Двойная независимая валторна F/Bb";1154
1680;"Alexander 103MAL Двойная независимая валторна";1153
1693;"J. Michael BT-950 Баритон 4-х вентельный";1073
1694;"Brahner EP-444 Баритон (Эфониум) Bb";1204
1695;"Troyka BR-200N Баритон Bb (Эфониум)";1212
1696;"Brahner EPH-411 Баритон Bb педальный";1205
1697;"Troyka BR200L Баритон Bb (Эфониум)";1211
1698;"Brahner EP-400 Баритон (Эфониум) Bb, 4-х помповый";1207
1699;"Pierre Cesar M2106 Conductor Баритон Bb (Эфониум) 3-х помповый";1788
1700;"Brahner EP-4101NP Баритон (Эфониум) Bb, 4-х помповый";1208
1701;"Konig KEP-111GL Баритон ""Bb""";1752
1702;"Санкт-Петербург 315GN/3 Баритон Bb";1215
1703;"J. Michael EU-1500 Эфониум";1075
1704;"Pierre Cesar M2106 Баритон Bb (Эфониум)";1220
1710;"AMATI AHR 343H I-O Валторна двойная F/Bb";1161
1712;"BOSTON FH-4211 Валторна одинарная F";1162
1714;"J. Michael BFH-600 Валторна Bb, ""Baby"", одинарная";1076
1715;"Conn 14D Валторна F, одинарная";1419
1716;"CONN 9D Валторна двойная F/Bb";1168
1717;"J. Michael FH-850 Валторна Bb/F двойная, со съемным раструбом";1078
1718;"JOSEF LIDL LHR-340 SONOR  Валторна двойная F/Bb";1375
1719;"J. Michael FH-750 Валторна F, одинарная";1077
1720;"JOSEF LIDL LHR-317 Валторна одинарная Bb";1374
1721;"JOSEF LIDL LHR-860 FILHARMONIK Валторна двойная F/Bb";1376
1722;"JOSEF LIDL LHR-860Z FILHARMONIK Валторна двойная F/Bb";1377
1723;"JOSEF LIDL LHR-867 FILHARMONIK Валторна двойная F/Bb";1378
1724;"Konig KFH-6100L Валторна двойная ""F/Bb""";1749
1725;"PAXMAN 20LYDC Двойная валторна F/Bb";1156
1726;"PAXMAN 20EGDM Двойная валторна F / Bb";1155
1727;"PAXMAN 33LYDM-S Двойная валторна F/Bb (A-+)";1157
1728;"HOLTON HR-650B Валторна одинарная Bb";1177
1729;"HOLTON H379 Валторна двойная F/Bb";1176
1730;"Konig KFH-6200S Валторна двойная ""F/Bb""";1750
1731;"HOLTON H378 Валторна двойная F/Bb";1820
1732;"HOLTON H479 Валторна двойная F/Bb";1173
1733;"HOLTON H478 Валторна двойная F/Bb";1169
1734;"HOLTON H181 Валторна двойная F/Bb";1171
1735;"HOLTON H177 Валторна двойная F/Bb";1174
1736;"HOLTON H281 Валторна двойная F/Bb";1172
1737;"HOLTON H178 Валторна двойная F/Bb";1170
1738;"HOLTON H276 Валторна двойная F/Bb";1819
1739;"HOLTON H176 Валторна двойная F/Bb";1818
1740;"HOLTON H105 Валторна двойная F/Bb";1817
1741;"Troyka DFH-700 Валторна двойная F/Bb";1199
1742;"Troyka DFH-600 Валторна двойная F/Bb";1198
1743;"BRAHNER  FH-503G Валторна одинарная Bb";1165
1744;"BRAHNER  JFH-312 Валторна одинарная Bb";1166
1745;"BRAHNER JFH-323 Валторна полуторная Bb/A";1167
1746;"BRAHNER  FH-5101S Валторна двойная F/Bb";1164
1747;"BRAHNER FH-4100 Валторна двойная F/Bb";1163
1748;"Pierre Cesar M3114JB Валторна Bb одинарная";1159
1749;"Pierre Cesar M3114 Двойная валторна Bb/F";1158
1750;"Roy Benson НR-202 Валторна Bb, детская";1461
1751;"Pierre Cesar M3114JF Валторна F, одинарная";1160
1752;"Roy Benson HR-402 Валторна  F";1178
1753;"Roy Benson НR-501 Валторна двойная F/Bb";1180
1754;"Yamaha YHR-567D Двойная валторна F/Bb";1628
1755;"Roy Benson НR-401 Валторна одинарная Bb";1179
1756;"BOSTON OB-631S Гобой C";1194
1757;"Buffet Crampon BC3613G-2-0 Гобой С";1182
1758;"F.Loree CR+3 серии Royal Гобой С";1184
1759;"BOSTON OB-732SW Гобой С";1195
1760;"Buffet Crampon BC4052-2-0 Гобой С";1183
1761;"Rigoutat VIS MAIN Винт для гобоя и английского рожка";1413
1766;"Rigoutat VIS 2-OCTAVE Винт для гобоя и английского рожка";1411
1771;"Rigoutat VIS DOUBLE Винт для гобоя и английского рожка";1412
1772;"Dunlop НЕ450 Bore oil Масло для пропитки дерева";1675
1773;"Rigoutat VIS VERROR Винт для гобоя и английского рожка";1414
1774;"Rigoutat VIS A RESSORT Винтики для гобоя и английского рожка вспомогательные";1415
1776;"Rigoutat VIS A SUPPORT Винтики для гобоя и английского рожка";1416
1795;"Howarth S40C Гобой, модель Graduate";1070
1798;"Pierre Cesar M1102P Гобой С";1187
1799;"Howarth XL Английский рожок";1071
1800;"Howarth S20C Гобой, модель Intermediate";1069
1802;"Pierre Cesar M1102 Гобой С";1186
1803;"Marigaux M2 Гобой С";1185
1804;"Rigoutat ""Initiation"" Гобой С";1189
1805;"SELMER 123FB Гобой С";1196
1806;"Rigoutat ""CLASSIC"" Гобой С";1188
1807;"Rigoutat серии ""RIEC"" GREN SEMI-AUTOMAT Гобой С";1192
1808;"Rigoutat серии ""J"" AUTOMAT Гобой С";1190
1809;"Rigoutat серии ""J"" GREN SEMI-AUTOMAT Гобой С";1191
1810;"Rigoutat серии ""SYMPHONY"" GREN SEMI-AUTOMAT Гобой С";1193
1811;"Troyka OB-100SW Гобой С";1197
1812;"Dunlop НЕ451 Key oil Масло для механики деревянных духовых инструментов";1676
1813;"Hohner M533016 Blues Harp Губная гармошка";1064
1814;"Brahner DN-6 Горн малый";1229
1815;"Hohner M91105 Набор губных гармошек Blues";1065
1816;"Troyka РН-100 Охотничий рожок Bb";1228
1817;"Pierre Cesar M6400 Горн большой Bb";1230
1821;"Boston HH-22 Рожок охотничий Bb";1227
1822;"Flight FDJI-120LB Диджериду";1882
1823;"Meinl DDG-MP Мундштук для диджериду";1885
1824;"Flight FDJI-120BL Диджериду";1881
1825;"Yuka DDP51-4 Диджериду";1889
1826;"Flight FDJI-130YL Диджериду";1895
1827;"Flight FDJI-120BK Диджериду";1880
1828;"Yuka DDWB10-8 Диджериду-бокс";1888
1829;"Meinl MDDGB Чехол для диджериду";1886
1830;"Meinl SDDG1-BK NB Диджериду";1892
1831;"Meinl DDG-BOX2 Стерео диджериду-бокс";1884
1832;"Meinl MDDGB-PRO Чехол для профессионального диджериду";1887
1833;"Meinl TSDDG1-BK Диджериду - тромбон";1894
1849;"Amati ACL 201-OT Кларнет Bb";1232
1850;"Amati ACL 201S-OT Кларнет Bb";1233
1851;"Amati ACL 242-O Кларнет Bb";1235
1852;"Amati ACL 242S-O Кларнет Bb";1236
1853;"Amati ACL 211-OA Кларнет Bb";1234
1854;"Amati ACL 371 IIS-O Кларнет A";1231
1855;"Amati ACL 321S-OT Кларнет Bb";1237
1856;"Amati ACL 261-OK Кларнет Eb";1238
1857;"Amati ACL 361S-OK Кларнет Eb";1239
1858;"Dunlop НЕ3001 Шомпол для протирки внутренней части Альт и Бас кларнета";1671
1859;"Dunlop НЕ50Р Впитывающая салфетка для протирки внутренней поверхности кларнета";1677
1860;"Dunlop НЕ3002 Шомпол для протирки внутренней части кларнета";1672
1861;"F21883 Набор настроечных колец для кларнета Bb или A";498
1868;"Лира для кларнета P. Beat L-117";200
1869;"Conn-Selmer 575 Лира для кларнета";670
1909;"Boston C-111 Кларнет Bb";1240
1912;"Brahner C-103B Кларнет Bb";1241
1913;"Brahner CL-570ES Кларнет Eb";1242
1914;"Buffet Crampon B12 (BC2540-2-0) Кларнет Bb";1245
1915;"Brahner C-403S Кларнет Bb";1243
1916;"Buffet Crampon E12F (BC25112F-2-0) Кларнет Bb";1244
1917;"J. Michael CL-350 Кларнет Bb ""Student model""";1079
1918;"J. Michael CL-430N Кларнет Bb";1080
1919;"Buffet Crampon Е13 (BC1102-2-0) Кларнет Вb";1246
1920;"Leblanc L7250WC Кларнет Bb";1253
1921;"Leblanc Bliss L320NC Кларнет Bb";1251
1922;"J. Michael CL-750 Кларнет Bb";1081
1923;"Leblanc ""Vito"" V7214PC Кларнет Bb";1247
1924;"Leblanc Bliss L310NC Кларнет Bb";1250
1925;"Leblanc LB320 Кларнет Bb";1254
1926;"Leblanc L7214PC Кларнет Bb";1252
1927;"Leblanc Bliss L210N Кларнет Bb";1248
1928;"Leblanc OPUS II 1191S Кларнет Bb";1273
1929;"Jupiter JRS-1030 Саксонет";827
1930;"Leblanc Bliss L210S Кларнет Bb";1249
1931;"Jupiter JCL-737STO Кларнет Bb";1112
1932;"Maxtone TTC-80W Кларнет Bb";1255
1933;"Selmer 1400B Кларнет Bb";1257
1934;"Prelude by Conn-Selmer CL-710 Кларнет Bb";1256
1935;"Selmer CL301 Кларнет Bb";1260
1936;"Selmer CL201 Кларнет Bb";1258
1937;"Selmer CL211 Кларнет Bb";1259
1938;"Selmer CL601 Aristocrat Кларнет Bb";1261
1939;"Selmer ARTHEA (1104022011) Кларнет Bb";1275
1940;"Selmer PRIVILEGE-BB+A Пара кларнетов Bb и A";1276
1941;"Selmer ODYSSEE B15ODY (1104011011) Кларнет Bb";1274
1942;"Roy Benson СB-217 Кларнет Bb";1265
1943;"Roy Benson СB-218 Кларнет Bb";1266
1944;"Roy Benson СB-317 Кларнет Bb";1267
1945;"Roy Benson CG-220 Кларнет Bb";1262
1946;"Roy Benson CВ-417 Кларнет Bb";1264
1947;"Roy Benson CG-521 Кларнет Bb";1263
1948;"Roy Benson СB-318 Кларнет Bb";1268
1949;"Troyka CL-100SW Кларнет Bb";1272
1950;"Troyka CL-100E Кларнет Bb";1270
1951;"Troyka CL-100EB Кларнет Bb";1271
1952;"Pierre Cesar M2102HS Корнет Bb";1300
1953;"Brahner CR-430S Корнет Bb";1293
1954;"Roy Benson СR-202 Корнет Bb";1299
1955;"Brahner CR-350 Корнет Bb";1292
1956;"Roy Benson СR-202S Корнет Bb";1379
1957;"Jupiter JCR-520ML Корнет Bb";1113
1958;"Prelude by Bach CR-710S Корнет Bb";1291
1959;"King 603 Корнет Bb";1294
1960;"Bach CR301H Корнет Bb";1290
1961;"King 605W Корнет Bb";1295
1962;"Корнет Bb Getzen 481-SC Student";34
1963;"Корнет Bb Getzen 381S-SC Student";33
1964;"Troyka BC-100B Бас-кларнет";1269
1965;"Selmer PRIVILEGE-67 Бас кларнет Bb";1277
1966;"Bach 181ML Stradivarius Корнет Bb";1288
1967;"Bach 181SML Stradivarius Корнет Bb";1287
1968;"Bach 184SML Stradivarius Корнет Bb";1289
1969;"Корнет Bb Getzen 580S  Capri";35
1970;"Корнет Bb Getzen 782S Eterna II Semi-Pro";36
1971;"Корнет C Getzen 3810 Custom";38
1972;"Корнет Bb Getzen 3850 Custom";39
1973;"Корнет Bb Getzen 800S Eterna Semi-Pro";37
1974;"Корнет Eb Getzen 3892 Custom";40
1975;"XA1 SCHILKE Корнет Bb";375
1976;"XA7 SCHILKE Корнет Bb";376
1977;"Kelly TP7CGG Мундштук для трубы 7 С";1609
1978;"Kelly TP5CHG Мундштук для трубы 5 С";1608
1979;"King 605WSP Корнет Bb";1296
1980;"Kelly TP3CHG Мундштук для трубы 3 С";1607
1981;"Kelly TP15HG Мундштук для трубы 1 1/2 С";1605
1982;"Vincent Bach 336-7 Мундштук для валторны, размер 7";890
1983;"Vincent Bach 336-10S Мундштук для валторны, размер 10S";884
1984;"Vincent Bach 336-15 Мундштук для валторны, размер 15";886
1985;"Vincent Bach 336-12 Мундштук для валторны, размер 12";885
1986;"Kelly TP1CMM Мундштук для трубы 1 С";1606
1987;"Vincent Bach 336-16 Мундштук для валторны, размер 16";887
1988;"Vincent Bach 336-3 Мундштук для валторны, размер 3";889
1989;"Vincent Bach 336-18 Мундштук для валторны, размер 18";888
2027;"Vincent Bach A3376 Мундштук для альта № 6";881
2029;"Vincent Bach A33712 Мундштук для альта № 12";883
2030;"Vincent Bach A3377 Мундштук для альта № 7";882
2031;"Vincent Bach A3375 Мундштук для альта № 5";880
2032;"Vincent Bach 349-1C Мундштук для корнета, размер 1C";899
2033;"Vincent Bach A3373 Мундштук для альта №3";879
2034;"Vincent Bach 349-1HC Мундштук для корнета, размер 1- 1/2 C";900
2035;"Vincent Bach 349-5C Мундштук для корнета, размер 5C";902
2036;"Vincent Bach 349-3C Мундштук для корнета, размер 3C";901
2037;"Vincent Bach 349-11RC Мундштук для корнета, размер 11- 3/4 C";898
2038;"Vincent Bach 349-7C Мундштук для корнета, размер 7C";904
2039;"Vincent Bach Artisan A4491HB Мундштук для корнета, размер 1- 1/2 B";891
2040;"Vincent Bach 349-6C Мундштук для корнета, размер 6C";903
2041;"Vincent Bach 349-10HC Мундштук для корнета, размер 10- 1/2 C";896
2042;"Vincent Bach 349-10HDW Мундштук для корнета, размер 10- 1/2 DW";897
2043;"Vincent Bach 349-7CW Мундштук для корнета, размер 7CW";905
2044;"Vincent Bach Artisan A4495С Мундштук для корнета, размер 5C";893
2046;"Vincent Bach Artisan A4491HC Мундштук для корнета, размер 1- 1/2 C";892
2047;"Vincent Bach Artisan A4496 Мундштук для корнета, размер 6";894
2048;"Vincent Bach 350-5 Мундштук для тенор-тромбона, размер 5";937
2049;"Vincent Bach 350-5GB Мундштук для тенор-тромбона, размер 5GB";939
2050;"Vincent Bach 350-12E Мундштук для альт-тромбона, размер 12E";930
2051;"Vincent Bach 350-3 Мундштук для тенор-тромбона, размер 3";934
2052;"Vincent Bach 350-14D Мундштук для тенор-тромбона, размер 14D";931
2053;"Vincent Bach 350-4C Мундштук для тенор-тромбона, размер 4C";936
2054;"Vincent Bach 350-5GS Мундштук для тенор-тромбона, размер 5GS";940
2055;"Vincent Bach 350-15C Мундштук для тенор-тромбона, размер 15C";932
2056;"Vincent Bach 350-5G Мундштук для тенор-тромбона, размер 5G";938
2057;"Vincent Bach 350-17C Мундштук для тенор-тромбона, размер 17C";933
2058;"Vincent Bach 350-4 Мундштук для тенор-тромбона, размер 4";935
2059;"Vincent Bach 350-7C Мундштук для тенор-тромбона, размер 7C";946
2061;"Kelly TPKSHG Мундштук для трубы SCREAMER";1610
2062;"Vincent Bach 351-10B Мундштук для трубы, размер 10B";966
2063;"Vincent Bach 351-1 Мундштук для трубы, размер 1";964
2064;"Schilke 8A4 Мундштук для трубы";2003
2065;"Vincent Bach 351-10 Мундштук для трубы, размер 10";965
2066;"Schilke 11Ax Мундштук для трубы";2011
2067;"Vincent Bach ""Artisan"" A4511C2 Мундштук для трубы, размер 1C";957
2068;"Vincent Bach ""Artisan"" A4511HC Мундштук для трубы, размер 1- 1/2 C";959
2069;"Schilke 8E2 Мундштук для трубы";2004
2070;"Vincent Bach ""Artisan"" A4515C2 Мундштук для трубы, размер 5C";962
2071;"Schilke 9 Мундштук для трубы";2005
2072;"Vincent Bach ""Artisan"" A4517C2 Мундштук для трубы, размер 7C";963
